id,year,value,type,value.eu,value.top3,value.inno,value.us,value.cn,value.jp,value.kr
AI,2021,8.8,v,7.7111,17.6,14.6,,,,
AI,2022,9.8,v,7.9648,16.233,14.09,,,,
AI,2023,10.8,v,8.2185,14.9,13.58,,,,
Abgabenquote,2000,42.285,v,37.146,15.288,44.684,28.295,,,20.916
Abgabenquote,2001,43.886,v,36.371,16.142,43.092,27.261,,25.341,21.201
Abgabenquote,2002,42.697,v,36.245,16.234,42.547,25.011,,25.534,21.312
Abgabenquote,2003,42.409,v,36.05,16.197,42.319,24.484,,24.504,21.991
Abgabenquote,2004,41.958,v,35.988,16.213,42.473,24.762,,24.136,21.177
Abgabenquote,2005,41.012,v,36.339,16.819,43.143,26.097,,24.76,21.656
Abgabenquote,2006,40.408,v,36.319,17.634,42.744,26.775,,25.827,22.632
Abgabenquote,2007,40.548,v,36.477,18.053,42.268,26.728,,26.618,23.73
Abgabenquote,2008,41.391,v,36.056,17.678,41.872,25.643,,27.159,23.583
Abgabenquote,2009,40.98,v,35.646,16.239,41.414,22.911,,27.049,22.703
Abgabenquote,2010,40.958,v,35.487,16.885,41.347,23.371,,25.686,22.378
Abgabenquote,2011,41.119,v,35.761,17.634,41.5,23.761,,26.241,23.177
Abgabenquote,2012,41.767,v,36.377,17.898,41.994,23.916,,27.132,23.702
Abgabenquote,2013,42.635,v,36.834,17.756,42.587,25.481,,27.952,23.143
Abgabenquote,2014,42.699,v,37.058,17.648,43.204,25.883,,28.557,23.381
Abgabenquote,2015,43.126,v,36.855,18.772,42.666,26.22,,29.973,23.737
Abgabenquote,2016,41.753,v,37.211,18.637,43.001,25.876,,30.242,24.745
Abgabenquote,2017,41.871,v,37.261,18.429,42.985,26.66,,30.279,25.357
Abgabenquote,2018,42.261,v,37.477,18.897,42.592,24.991,,30.916,26.686
Abgabenquote,2019,42.615,v,37.486,19.008,42.735,25.128,,31.544,27.227
Abgabenquote,2020,42.086,v,37.468,18.595,42.76,25.734,,31.508,27.745
Abgabenquote,2021,43.284,v,37.784,19.064,42.992,26.498,,32.966,29.761
Abgabenquote,2022,43.101,v,37.358,19.148,41.329,27.656,,34.075,31.976
Arbeitslosenquote,2000,4.7,v,9.0654,2.4,6.08,,,,
Arbeitslosenquote,2001,4,v,8.7154,1.9333,5.5,,,,
Arbeitslosenquote,2002,4.9,v,8.8481,2.7,5.84,,,,
Arbeitslosenquote,2003,4.8,v,8.8444,3.7667,6.56,,,,
Arbeitslosenquote,2004,5.8,v,8.9111,4.2,6.88,,,,
Arbeitslosenquote,2005,5.6,v,8.4481,3.7667,7.02,,,,
Arbeitslosenquote,2006,5.3,v,7.5148,3.3667,6.4,,,,
Arbeitslosenquote,2007,4.9,v,6.5444,2.8333,5.72,,,,
Arbeitslosenquote,2008,4.1,v,6.4074,2.9333,5.4,,,,
Arbeitslosenquote,2009,5.3,v,8.9815,3.8667,7.06,,,,
Arbeitslosenquote,2010,4.8,v,10.215,4.375,7.6,,,,
Arbeitslosenquote,2011,4.6,v,10.196,4.0667,7.12,,,,
Arbeitslosenquote,2012,4.9,v,10.948,4.1667,7.38,,,,
Arbeitslosenquote,2013,5.4,v,11.307,4.4667,7.88,,,,
Arbeitslosenquote,2014,5.6,v,10.663,4.4333,7.9,,,,
Arbeitslosenquote,2015,5.7,v,9.8259,4.3,7.7,,,,
Arbeitslosenquote,2016,6,v,8.8259,3.7,7.12,,,,
Arbeitslosenquote,2017,5.5,v,7.7259,3.1333,6.62,,,,
Arbeitslosenquote,2018,4.9,v,6.6704,2.7667,5.74,,,,
Arbeitslosenquote,2019,4.5,v,6.0481,2.8,5.46,,,,
Arbeitslosenquote,2020,5.4,v,6.8074,3.2,6.22,,,,
Arbeitslosenquote,2021,6.2,v,6.6407,3.2,6.42,,,,
Arbeitslosenquote,2022,4.8,v,5.7704,2.6667,5.58,,,,
Ausgaben_Primar_KKS,2012,7494.6,v,5557.1,11656,7254.5,,,,
Ausgaben_Primar_KKS,2013,8047.8,v,5508.6,11324,7320,,,,
Ausgaben_Primar_KKS,2014,8128,v,5549.7,11945,7361.1,,,,
Ausgaben_Primar_KKS,2015,8696.3,v,5741.1,12200,7466.8,,,,
Ausgaben_Primar_KKS,2016,8805.9,v,5662.9,11042,7315.2,,,,
Ausgaben_Primar_KKS,2017,8777.2,v,5854,11428,7448.1,,,,
Ausgaben_Primar_KKS,2018,8912.8,v,6070.3,11879,7690.8,,,,
Ausgaben_Primar_KKS,2019,8737.7,v,6487.1,12415,7925.7,,,,
Ausgaben_Primar_KKS,2020,8908.4,v,6743.2,12314,8220,,,,
Ausgaben_Sekundar_BIP,2012,2.35,v,2.0623,2.7633,2.575,,,,
Ausgaben_Sekundar_BIP,2013,2.3,v,2.1068,3.8933,2.495,,,,
Ausgaben_Sekundar_BIP,2014,2.22,v,1.9554,2.84,2.568,,,,
Ausgaben_Sekundar_BIP,2015,2.21,v,1.8875,2.6733,2.455,,,,
Ausgaben_Sekundar_BIP,2016,2.18,v,1.8488,2.5933,2.342,,,,
Ausgaben_Sekundar_BIP,2017,2.11,v,1.7996,2.46,2.258,,,,
Ausgaben_Sekundar_BIP,2018,2.01,v,1.8092,2.41,2.262,,,,
Ausgaben_Sekundar_BIP,2019,1.9,v,1.8127,2.3967,2.228,,,,
Ausgaben_Sekundar_BIP,2020,2.06,v,1.9315,2.55,2.364,,,,
Ausgaben_Sekundar_KKS,2012,21474,v,13535,23468,18129,,,,
Ausgaben_Sekundar_KKS,2013,22178,v,13046,23099,18293,,,,
Ausgaben_Sekundar_KKS,2014,22139,v,13635,25446,18671,,,,
Ausgaben_Sekundar_KKS,2015,23162,v,13952,25707,18609,,,,
Ausgaben_Sekundar_KKS,2016,23569,v,14199,25980,18251,,,,
Ausgaben_Sekundar_KKS,2017,23164,v,14330,25831,18398,,,,
Ausgaben_Sekundar_KKS,2018,23037,v,15006,26535,19022,,,,
Ausgaben_Sekundar_KKS,2019,22232,v,15580,27229,19281,,,,
Ausgaben_Sekundar_KKS,2020,22499,v,15785,27307,19836,,,,
Ausgaben_VS_BIP,2012,0.88,v,1.2867,2.2767,1.662,,,,
Ausgaben_VS_BIP,2013,0.91,v,1.3,2.2533,1.606,,,,
Ausgaben_VS_BIP,2014,0.9,v,1.2085,2.1333,1.594,,,,
Ausgaben_VS_BIP,2015,0.92,v,1.1929,2.0583,1.571,,,,
Ausgaben_VS_BIP,2016,0.91,v,1.1844,2.0133,1.534,,,,
Ausgaben_VS_BIP,2017,0.91,v,1.1693,1.99,1.512,,,,
Ausgaben_VS_BIP,2018,0.89,v,1.173,2.0333,1.516,,,,
Ausgaben_VS_BIP,2019,0.86,v,1.1904,2.0233,1.516,,,,
Ausgaben_VS_BIP,2020,0.95,v,1.2707,2.17,1.606,,,,
Ausgaben_prim_sek_BIP,2012,3.1235,v,3.238,4.5878,4.0479,3.6081,,2.8142,
Ausgaben_prim_sek_BIP,2013,3.2045,v,3.2321,4.7377,4.0425,3.5104,,2.7502,
Ausgaben_prim_sek_BIP,2014,3.1212,v,3.208,4.7148,4.0399,3.4779,,2.7906,
Ausgaben_prim_sek_BIP,2015,3.124,v,3.1048,4.5031,3.9512,3.4936,,2.7375,3.5452
Ausgaben_prim_sek_BIP,2016,3.131,v,3.051,4.4923,3.8742,3.5344,,2.6244,3.4454
Ausgaben_prim_sek_BIP,2017,3.0713,v,3.0263,4.6014,3.8084,3.5561,,2.5889,3.4711
Ausgaben_prim_sek_BIP,2018,2.9566,v,3.0425,4.6643,3.8176,3.5113,,2.5449,3.5315
Ausgaben_prim_sek_BIP,2019,2.9295,v,3.0804,4.6091,3.8054,3.5074,,2.5869,3.7436
Ausgaben_prim_sek_BIP,2020,3.0872,v,3.2414,5.2118,3.9605,3.5746,,2.6804,3.5152
Ausgaben_prim_sek_studi,2012,12481,v,8132,15311,10689,11731,,9563.8,
Ausgaben_prim_sek_studi,2013,13393,v,8410.5,16672,11104,11868,,9801.8,
Ausgaben_prim_sek_studi,2014,13454,v,8671,16467,11284,12163,,9950.8,
Ausgaben_prim_sek_studi,2015,13935,v,8744.8,16235,11388,12595,,10100,11204
Ausgaben_prim_sek_studi,2016,14914,v,9015,16394,11650,13022,,9866.5,11813
Ausgaben_prim_sek_studi,2017,15006,v,9421.8,17088,12025,13511,,9988.8,12691
Ausgaben_prim_sek_studi,2018,15227,v,9966.9,17730,12571,14009,,10141,13969
Ausgaben_prim_sek_studi,2019,15820,v,10737,18768,13237,14671,,10470,15345
Ausgaben_prim_sek_studi,2020,16004,v,11123,19117,13803,15186,,11076,15148
BERD_bev,2002,0.43053,v,0.26178,0.85598,0.55143,0.70891,0.018232,0.60184,0.34241
BERD_bev,2003,0.46308,v,0.26727,0.85062,0.55476,0.67403,0.022861,0.63181,0.35379
BERD_bev,2004,0.49564,v,0.28003,0.82396,0.56985,0.69189,0.027522,0.65962,0.38287
BERD_bev,2005,0.57985,v,0.2527,0.84941,0.58144,0.7114,0.035944,0.69111,0.44541
BERD_bev,2006,0.62554,v,0.28709,0.98008,0.64555,0.7653,0.045182,0.76999,0.48836
BERD_bev,2007,0.67294,v,0.30488,0.99926,0.68548,0.83005,0.056834,0.83761,0.56481
BERD_bev,2008,0.73595,v,0.33298,1.0773,0.7629,0.89389,0.06771,0.89802,0.63656
BERD_bev,2009,0.72348,v,0.32951,1.0364,0.73809,0.95589,0.080309,0.91117,0.67457
