var,iso2,Verh_IL,Verh_IL_old,Verh_EU,Verh_Top3,Verh_CH,Verh_CN,Verh_JP,Verh_KR,Verh_US,Verh_AT
B_A1,BE,85.989525,86.839767,97.882362,50.388977,74.580086,98.899673,84.431229,88.127373,62.123032,122.7511
B_A1,AT,90.226135,90.570038,97.08474,50.622318,74.567177,109.98826,100.48251,108.44988,72.193634,100
B_A1,IS,110.90154,111.71855,114.38285,56.673309,81.733864,104.00096,95.313049,107.90732,67.191017,105.32165
B_A1,BG,80.024017,80.230309,85.543907,54.433563,84.07341,77.936249,174.5112,87.621033,189.09738,96.871544
B_A1,NZ,133.83865,135.2489,138.74254,65.426636,97.200424,104.20358,114.30576,128.70522,79.891182,129.00552
B_A1,HU,98.221786,98.517616,102.91415,54.132759,83.629341,81.853523,120.21233,105.94667,89.623886,108.18274
B_A1,CL,180.88651,184.34982,180.91136,83.170769,120.27588,83.646629,148.95946,144.11063,127.31227,185.6691
B_A1,CY,95.580109,96.187691,107.12296,63.631191,99.476486,88.743057,138.05615,96.80481,143.96771,121.05304
B_A1,SK,90.001686,90.301056,92.234276,47.310268,74.452705,85.17775,94.939606,91.974106,71.051323,90.315475
B_A1,MX,127.90909,129.424,127.49477,62.073799,89.849129,74.314735,106.90572,111.92542,82.852478,125.34819
B_A1,CH,126.16264,127.05652,134.69357,69.101479,100,119.01135,126.49996,132.7554,95.55098,151.71172
B_A1,AU,139.44272,140.43449,144.33424,68.513206,102.0058,101.30974,119.30126,136.80411,80.321213,131.61456
B_A1,NL,105.51579,107.07052,124.12125,62.250797,94.542961,112.11777,99.09108,104.70887,69.805107,168.94017
B_A1,PT,85.650322,86.521484,94.930321,49.750214,75.061661,101.4281,91.294083,91.254028,67.598984,115.80006
B_A1,IT,78.097939,78.818832,85.982277,46.108742,69.084305,90.925285,83.275345,84.228683,60.515011,102.34335
B_A1,JP,109.82787,110.39948,112.45097,56.303265,81.844765,111.36649,100,113.60181,72.218941,105.00427
B_A1,CA,147.23216,148.1665,155.81653,65.601334,107.35962,98.68615,132.742,163.14819,85.266876,137.80064
B_A1,NO,104.76148,106.04591,119.23451,63.249737,95.361435,103.79312,97.095436,97.582947,70.894875,169.0838
B_A1,CZ,85.231377,85.951401,91.038925,48.817791,74.501907,97.876396,98.327568,93.258507,73.056549,100.95491
B_A1,PL,85.438545,85.965813,90.098541,46.368656,71.706116,79.247803,101.48123,96.732018,75.473625,96.195854
B_A1,UK,145.30812,147.42319,169.16357,76.191673,132.76787,106.7363,148.44131,181.42465,87.123558,210.92873
B_A1,SI,94.044952,94.412605,96.835938,49.823154,79.431366,96.103233,100.76603,98.617096,73.588257,94.126312
B_A1,RO,60.216919,60.571156,64.963127,42.945896,66.1483,86.030594,128.87282,93.748749,133.62914,72.092949
B_A1,FR,87.76416,88.889374,103.36433,52.982876,78.40287,109.93775,79.494774,85.878555,59.035862,142.9287
B_A1,LT,104.40497,104.76357,106.44576,54.719059,89.036934,91.546265,115.19263,105.15043,85.129456,104.27961
B_A1,LV,93.917259,94.455162,96.265762,48.852802,79.496262,84.522018,101.0929,97.315475,73.602554,94.536682
B_A1,US,209.09508,210.30666,224.35919,83.899849,145.32578,107.29222,180.60068,245.7795,100,190.5808
B_A1,IE,117.03461,118.13426,127.8326,62.472313,98.355133,113.44974,130.40985,132.51224,94.993103,145.86865
B_A1,CR,175.86578,174.31798,172.1541,90.797905,119.5938,85.35762,145.70064,154.25414,120.75275,155.12555
B_A1,MT,78.499626,79.450058,91.256203,54.863281,81.817001,86.097755,101.92252,103.4222,94.470848,101.90775
B_A1,EL,78.595406,79.177979,84.286949,44.130974,65.471809,89.686897,86.827667,89.847145,64.634659,91.986534
B_A1,EE,104.74699,104.93504,107.15334,56.253666,87.19136,105.33836,112.42236,103.89571,85.506859,105.51124
B_A1,LU,90.640869,91.385155,101.43651,53.93343,70.987282,113.67255,88.726387,87.000961,69.491768,116.61728
B_A1,KR,109.52598,110.48871,110.95808,55.260426,78.342651,89.735008,92.774712,100,70.60965,105.61547
B_A1,IN,59.934563,60.581135,67.039856,55.012466,54.15115,64.446022,57.868408,71.818146,60.06588,58.593544
B_A1,DK,109.19646,110.30327,125.39352,63.791904,94.825737,109.97197,108.24859,113.16327,76.100685,159.13722
B_A1,CO,115.90615,115.86389,116.1481,60.040768,84.85006,81.228958,98.188828,111.91191,71.783493,105.41393
B_A1,ES,89.279472,90.244591,100.20575,52.324856,79.436859,93.507538,91.385361,98.591835,63.491413,125.27669
B_A1,DE,90.656647,91.52272,101.15584,53.152134,80.691406,100.48397,93.282616,103.08508,63.588055,120.12159
B_A1,TR,100.9986,101.37918,99.086693,51.871132,75.382744,73.690178,100.94952,81.733727,82.68409,99.904839
B_A1,HR,141.06096,142.92273,180.1376,89.884811,98.331779,74.344742,132.55588,100.91677,127.55132,220.93283
B_A1,FI,96.764191,97.797668,110.68019,56.561867,85.367516,118.76018,98.138458,100.35009,71.957008,141.46387
B_A1,CN,92.999634,94.002914,104.02482,85.362083,84.025597,100,89.793617,111.43923,93.2034,90.918793
B_A1,IL,113.44267,114.78321,116.80711,57.382713,83.033119,107.29336,97.131561,107.44818,70.876785,110.66625
B_A1,SE,107.55177,108.98869,127.41169,63.656555,95.428238,97.886902,99.343811,101.63786,69.50087,174.88567
B_A2,IT,90.554131,91.494041,100.75975,59.272003,101.1711,61.007412,73.073822,69.743179,91.308945,94.564873
B_A2,AU,139.86125,140.35518,137.85797,65.758881,180.40616,77.708702,95.43679,86.930984,107.10352,148.41583
B_A2,CN,211.58115,214.03123,208.30122,85.800446,193.29877,100,97.580048,96.976952,157.13458,210.05724
B_A2,KR,147.50633,149.48845,175.08681,85.321175,151.26845,113.43942,113.96413,100,159.73343,166.36086
B_A2,NZ,216.48389,217.96193,177.08673,64.708092,255.3076,93.886436,87.213379,81.405159,104.91067,208.81818
B_A2,CY,141.457,142.28917,125.85313,54.869404,133.24155,60.29501,62.431553,57.773087,83.370056,140.6879
B_A2,JP,132.95013,134.01692,158.3071,78.996017,142.3806,109.51927,100,93.830444,142.24966,147.63766
B_A2,HR,117.82064,119.10328,118.73844,58.928783,127.18654,63.299164,73.777237,67.826324,89.315132,122.884
B_A2,RO,57.910599,58.547451,65.603615,38.746986,69.70507,47.878544,60.825268,52.787445,64.999908,66.614456
B_A2,TR,123.68695,124.73554,107.03659,44.596245,122.11392,67.200806,76.23085,68.790657,86.982849,124.65047
B_A2,AT,95.667648,96.853592,109.45997,63.548489,106.94125,68.887085,77.296867,72.268738,95.441872,100
