var,iso2,Verh_IL,Verh_IL_old,Verh_EU,Verh_Top3,Verh_CH,Verh_CN,Verh_JP,Verh_KR,Verh_US,Verh_AT
B_D2,NZ,49.621273,48.503082,74.750793,35.492748,45.866425,274.22382,83.030441,130.5105,76.163933,58.559338
B_A1,FR,87.727814,88.851883,103.36441,52.886917,78.269508,109.93775,79.490875,85.70063,59.032555,142.93263
B_A1,RO,60.216919,60.571156,64.963127,42.945896,66.1483,86.030594,128.87282,93.748749,133.62914,72.092949
B_A1,AT,90.187012,90.529663,97.081467,50.526695,74.433983,109.98826,100.47504,108.27188,72.186501,100
B_A1,DK,109.1747,110.281,125.41971,63.674595,94.66507,109.97197,108.27175,112.9512,76.126518,159.17261
B_A1,CN,92.999634,94.002914,104.02482,85.362083,84.025597,100,89.793617,111.43923,93.2034,90.918793
B_A1,CZ,85.168098,85.885986,91.018837,48.697025,74.332253,97.876396,98.301041,93.030373,73.029259,100.9362
B_A1,FI,96.814392,97.850067,110.7692,56.490349,85.276176,118.76018,98.230789,100.23605,72.056427,141.57104
B_A1,IN,59.934563,60.581135,67.039856,55.012466,54.15115,64.446022,57.868408,71.818146,60.06588,58.593544
B_A1,IL,112.72443,114.03821,116.20894,56.859669,82.323074,107.29336,96.649956,106.75152,70.354378,109.98611
B_A1,NL,105.51736,107.07248,124.17059,62.141987,94.396194,112.11777,99.139381,104.5174,69.857758,169.00235
B_A1,LV,93.873795,94.410385,96.273819,48.719818,79.307983,84.522018,101.09543,97.115089,73.606247,94.551445
B_A1,KR,110.02619,111.00888,111.56353,55.192276,78.306358,89.735008,93.244125,100,71.122704,106.32782
B_A1,CY,95.580109,96.187691,107.12296,63.631191,99.476486,88.743057,138.05615,96.80481,143.96771,121.05304
B_A1,HR,141.06096,142.92273,180.1376,89.884811,98.331779,74.344742,132.55588,100.91677,127.55132,220.93283
B_A1,DE,90.65715,91.523491,101.19144,53.071964,80.583199,100.48397,93.317398,102.94384,63.625988,120.16652
B_A1,LU,90.641502,91.386108,101.47912,53.837536,70.857864,113.67255,88.768021,86.832031,69.53717,116.67106
B_A1,NO,104.63077,105.91055,119.15731,63.082069,95.14325,103.79312,97.013954,97.285652,70.80909,169.00003
B_A1,CR,175.76468,174.21375,172.16025,90.51741,119.23991,85.35762,145.69695,153.92397,120.75054,155.144
B_A1,SK,90.02578,90.326424,92.307938,47.20509,74.310028,85.17775,95.000565,91.827118,71.11731,90.406029
B_A1,AU,139.1783,140.16061,144.17145,68.18914,101.58297,101.30974,119.1647,136.40009,80.174263,131.43675
B_A1,NZ,134.77902,136.22626,139.80598,65.469711,97.342331,104.20358,115.13518,128.89729,80.796616,130.25023
B_A1,US,209.01396,210.22304,224.36632,83.669815,145.03574,107.29222,180.59927,245.46391,100,190.59836
B_A1,MX,128.94138,130.49678,128.64751,62.154633,90.046082,74.314735,107.80581,112.17391,83.834824,126.69602
B_A1,CL,180.52441,183.9765,180.93336,82.166191,119.00847,83.646629,148.94624,142.92812,127.30457,185.73514
B_A1,BE,86.016823,86.86834,97.941345,50.325851,74.497688,98.899673,84.491768,88.022629,62.188354,122.82276
B_A1,UK,145.37094,147.48878,169.27951,76.091751,132.6395,106.7363,148.56129,181.26357,87.252808,211.0686
B_A1,EE,104.9939,105.19179,107.45095,56.222878,87.175148,105.33836,112.68204,103.89983,85.784866,105.86128
B_A1,ES,89.294868,90.26088,100.26393,52.23222,79.313377,93.507538,91.44381,98.432198,63.554771,125.34859
B_A1,JP,109.76311,110.33274,112.45824,56.115971,81.608727,111.36649,100,113.35032,72.220161,105.02029
B_A1,IT,77.951355,78.666878,85.874069,45.970234,68.882019,90.925285,83.153725,83.949257,60.386162,102.22207
B_A1,MT,78.499626,79.450058,91.256203,54.863281,81.817001,86.097755,101.92252,103.4222,94.470848,101.90775
B_A1,CO,115.90615,115.86389,116.1481,60.040768,84.85006,81.228958,98.188828,111.91191,71.783493,105.41393
B_A1,IS,111.01355,111.83543,114.57576,56.526752,81.564568,104.00096,95.458847,107.76,67.351204,105.55363
B_A1,BG,80.024017,80.230309,85.543907,54.433563,84.07341,77.936249,174.5112,87.621033,189.09738,96.871544
B_A1,IE,117.23263,118.34023,128.0775,62.433376,98.323181,113.44974,130.67046,132.49115,95.27224,146.15726
B_A1,EL,78.657791,79.243073,84.39444,44.049232,65.367935,89.686897,86.939369,89.71801,64.754883,92.115791
B_A1,HU,97.752846,98.030968,102.49099,53.865902,83.220177,81.853523,119.74816,105.36349,89.129761,107.69746
B_A1,CH,126.57229,127.48244,135.17883,69.069885,100,119.01135,126.97112,132.79422,96.055237,152.28174
B_A1,TR,99.998665,100.34132,98.159172,51.359859,74.660484,73.690178,100.21181,80.903419,81.8983,98.838211
B_A1,SI,93.79776,94.156265,96.63958,49.621357,79.126366,96.103233,100.58715,98.277397,73.398392,93.904251
B_A1,CA,147.37714,148.31754,156.03323,65.487167,107.23321,98.68615,132.9073,163.02711,85.44445,138.0592
B_A1,LT,104.55177,104.91637,106.64533,54.648941,88.955742,91.546265,115.36508,105.07813,85.314445,104.51633
B_A1,PT,85.632202,86.502953,94.952812,49.650978,74.925781,101.4281,91.314034,91.074707,67.621223,115.83039
B_A1,SE,107.47234,108.90649,127.37305,63.535725,95.256813,97.886902,99.297417,101.40574,69.452324,174.8452
B_A1,PL,84.991852,85.502335,89.70665,46.08886,71.281799,79.247803,101.05,96.131378,75.014854,95.747742
B_A2,NL,115.09547,119.26417,136.96388,71.043968,131.96767,78.451813,117.21107,90.371223,134.80212,136.74368
B_A2,PT,93.374458,94.34465,103.9073,59.801655,107.54381,67.640686,78.074432,71.895721,90.798096,100.38507
B_A2,IE,115.19679,116.5227,124.09068,65.443375,118.68668,77.965622,85.826431,78.415108,108.35491,123.55503
B_A2,CH,95.583496,96.892609,111.53155,60.99902,100,74.573395,77.017906,71.76825,90.248283,108.07854
